name,excellent,very_good,average,poor,terrible
AMBER ECONTEL HOTEL Berlin-Charlottenburg,94,262,171,41,21
Hotel Spree-idyll,39,11,5,0,0
Pension Funk,67,51,11,3,8
Zarenhof Berlin Mitte,47,82,45,7,3
Hotel Am Schloss Koepenick Berlin by Golden Tulip,46,132,84,21,12
St Christopher's Inn Berlin Mitte,53,15,2,4,6
Flottwell Berlin Hotel & Residenz am Park,60,28,3,3,1
Novum Hotel City B,155,417,158,50,37
Amc Hotel - Schoneberg,49,49,11,0,1
Victor's Residenz-Hotel Berlin-Tegel,65,212,107,19,5
Axel Hotel Berlin,773,665,371,169,124
The Student Hotel Berlin,43,16,3,3,2
HOLI-Berlin Hostel & Hotel,60,42,7,3,2
Hotel AMO By AMANO,24,17,5,7,6
Novum Style Hotel Aldea,243,851,509,146,121
Comfort Hotel Lichtenberg,57,189,144,47,26
Hotel Berliner Baer,16,27,20,6,0
B&B Hotel Berlin-Charlottenburg,11,19,4,2,1
aletto Hotel Potsdamer Platz,10,5,1,0,1
Hotel Vita Berlin,10,3,0,0,0
Mark Apart Hotel,189,424,368,168,107
H24 Berlin Lichtenberg,24,8,2,0,1
Hotel Abendstern,30,108,78,17,16
Hotel Pension Margrit,20,52,24,2,3
Hotel Prens Berlin,40,77,43,14,19
Hotel Franke,41,143,87,27,24
Quentin Boutique Hotel,71,93,49,27,23
Hotel City Green Berlin,17,7,2,2,1
Atrium Charlottenburg Hotel,39,101,69,34,16
Good Morning + Berlin City East,15,21,17,7,3
Hotel Les Nations,38,50,20,0,5
Hotel Delta,47,130,122,39,22
Ocak Apartment & Hotel,19,23,14,3,5
the niu Hide,24,18,7,3,2
Hotel Erlanger Hof,25,44,18,4,3
Hotel Birgit Berlin Mitte,28,67,29,12,6
Schlosspark Hotel,16,28,6,3,1
Hotel St.-Michaels-Heim,12,29,7,1,2
Hotel Bett-Und-Buch,13,1,0,1,0
Hotel Vier Jahreszeiten Berlin City,47,97,57,16,15
Park Hotel Berlin Neukolln,52,156,123,31,24
Hotel Atlas Berlin,26,47,14,8,6
Hotel Mueggelsee Berlin,119,363,320,96,60
Courtyard by Marriott Berlin City Center,575,730,198,27,13
numa l Kater Apartments,4,0,0,0,0
numa l Belfort Rooms & Apartments,7,1,0,0,0
City Hotel Berlin East,354,973,846,341,209
Hotel Boelsche 126,2,0,0,0,0
STAYERY Berlin,2,0,0,0,0
AC Hotel by Marriott Berlin Humboldthain Park,17,19,7,4,0
Hotel Neuer Fritz Berlin,22,11,10,3,9
Classik Hotel Alexander Plaza Berlin,12,0,1,0,0
the niu Dwarf,2,4,3,1,0
Hotel AMANO East Side,0,4,1,0,0
Concorde Forsthaus,4,6,2,0,0
Holiday Inn Berlin City Center East P-Berg an IHG hotel,13,7,1,0,4
Holiday Inn Berlin City East-Landsberger an IHG hotel,69,172,187,66,41
Hotel Kryom's 108,2,1,1,0,1
SensCity Hotel Berlin Spandau,7,38,28,9,8
Hotel Christophorus,6,20,14,3,0
Motel Home,1,0,0,0,0
Das Schmockwitz,27,29,18,6,9
Hotel Waldschanke,2,0,0,0,0
Waldhotel am See Berlin-Schmockwitz,8,10,4,6,1
Nena Apartments Hermannplatz,1,0,0,0,0
Kudamm Luxury Apartments,1,0,0,0,0
a&o Berlin Friedrichshain,61,135,128,60,79
Haus Bismarck,3,4,1,0,0
Hotel Havel Lodge,10,14,20,9,6
a&o Berlin Kolumbus,73,117,115,48,69
Pension Sena,1,1,0,0,0
Kaiser Hotel,12,46,23,8,4
Europa City Hotel,33,109,105,32,26
Hotel Bornholmer Hof,6,18,14,5,4
Hotel-Pension Bernstein,3,32,15,5,6
numa l Belfort Rooms & Apartments,7,1,0,0,0
The Circus Apartments,299,22,1,0,0
Brilliant Apartments,381,73,4,0,0
Linnen,232,42,4,1,1
Louisa's Place,620,150,24,8,11
EastSeven Berlin Hostel,608,167,26,6,9
numa l Kater Apartments,4,0,0,0,0
ApartHotel Residenz Am Deutschen Theater,257,97,12,0,2
Flower's Boardinghouse Mitte,156,50,7,2,1
Hotel-Pension Bregenz,281,67,14,2,1
Cat's Pajamas,318,116,24,4,11
