name,5,4,3,2,1,total
Troadlop Men's Running Shoes Non Slip Shoes Breathable Lightweight Sneakers Slip Resistant Athletic Sports Walking Gym Work Shoes,58%,16%,10%,5%,11%,4951
ECCO Men's Street Tray Retro Slip-on Sneaker,0%,100%,0%,0%,0%,1
New Balance Men's 577 V1 Hook and Loop Walking Shoe,66%,16%,7%,4%,6%,13498
ECCO Men's Biom 2.0 Low Textile Sneaker,68%,0%,24%,8%,0%,20
Nike Mens Air Force 1 High '07,81%,9%,4%,2%,4%,1145
adidas Originals Men's Continental 80 Sneaker,73%,13%,6%,3%,5%,3030
adidas Men's HVC Wrestling Shoe,78%,12%,4%,1%,4%,5194
MEHOTO Mens Air Running Sneakers Men Sport Fitness Gym Jogging Walking Lightweight Shoes Size 7-12.5,64%,16%,7%,4%,9%,3804
Super Lightweight Safety Shoes Proof Resistant Work Shoe for Industrial and Construction Steel Toe Shoes for Men and Women.,66%,15%,8%,4%,8%,1528
YYZ Men’s Sneakers Lightweight Tennis Shoes - Slip on Breathable Walking Shoes for Men Non Slip Workout Shoes for Jogging Gym Travel,74%,16%,0%,0%,10%,17
Fila Men’s Memory Workshift Slip Resistant Work Shoe,66%,17%,8%,4%,5%,20798
LZDZN Athletic Sport Running Walking Shoes for Men Mesh Breathable Trail Runners Fashion Sneakers,49%,16%,16%,3%,17%,39
YDB Men's Running Shoes Ultra Lightweight Breathable Walking Shoes Non Slip Athletic Fashion Sneakers Mesh Workout Casual Sports Shoes,61%,20%,9%,4%,7%,1844
KEEN Utility Men's Vista Energy Low Soft Toe Industrial Sneaker Work,56%,44%,0%,0%,0%,14
VANS Unisex Era Skate Shoes Classic Low-Top Lace-up Style in Durable Double-Stitched Canvas and Original Waffle Outsole,78%,10%,5%,2%,5%,3904
PUMA Men's Cool Cat Slide Sandal,79%,11%,4%,1%,5%,726
Skechers Elite Flex Men's Wasik Loafer Shoes,76%,14%,5%,2%,3%,3848
Converse Unisex Chuck Taylor All Star,87%,4%,6%,0%,3%,106
Merrell Men's Trail Glove 5 Sneaker,72%,14%,6%,3%,5%,3327
Polo Ralph Lauren Men's Thorton Ii Sneaker,70%,13%,7%,4%,6%,841
ECCO Men's Mx Low Sneaker,70%,12%,8%,2%,7%,94
Converse Unisex-Child Chuck Taylor All Star Canvas High Top Sneaker,87%,7%,2%,1%,3%,2548
Nike Men's Revolution 4 Running Shoe Black/White-Anthracite 10 Regular US,70%,18%,6%,3%,3%,488
Merrell Men's Moab Edge 2 Waterproof Sneaker,75%,11%,7%,4%,4%,729
Reebok Women's Club C Sneaker,80%,10%,4%,2%,3%,3143
Under Armour Men's Training Cross Trainer,78%,14%,5%,1%,2%,2203
Tvtaop Mens Tennis Shoes Athletic Running Shoes Lightweight Sneakers Non Slip Walking Gym Shoes,57%,18%,10%,4%,11%,306
BRONAX Men's Stylish Graffiti Personality Sneakers,68%,16%,8%,3%,5%,12813
Salomon Men's Authentic LTR GTX Backpacking,68%,19%,6%,3%,5%,584
Reebok Men's Fusion Flexweave Sneaker,67%,16%,7%,5%,5%,419
Vionic Men's Walker,60%,16%,7%,6%,12%,1221
Converse Kid's Chuck Taylor All Star High Top Shoe,83%,9%,3%,1%,4%,8172
Fila Men's F-13v Lea/syn Fashion Sneakers,77%,14%,5%,2%,3%,6123
K-Swiss Men's Classic Vn Heritage Sneaker,79%,12%,4%,3%,3%,1081
SANSHA Motion Dance Sneaker,68%,13%,8%,4%,8%,272
Harley-Davidson Men's Wrenford Canvas Sneakers D93544 (Black 8.5),100%,0%,0%,0%,0%,2
ECCO Men's Street Tray High Top Sneaker,43%,28%,0%,0%,29%,4
adidas Men's Tech Response Golf Shoes,75%,16%,5%,2%,2%,22628
London Fog Mens Belmont Chukka Boot,77%,13%,5%,3%,3%,2082
ECCO Men's Low-top Sneaker,67%,18%,8%,4%,3%,249
Hgyltch Mens Running Shoes Tennis Fashion Sneakers Athletic Casual Slip On Walking Gym Lightweight Breathable Shoes,53%,20%,11%,7%,9%,381
Diesel Men's S-astico Low Cut Sneakers,100%,0%,0%,0%,0%,1
adidas Men's Kaptur Sneaker,79%,12%,4%,2%,3%,8336
adidas Performance Samba M I Leather Indoor Soccer Shoe (Infant/Toddler),87%,8%,2%,1%,2%,3198
Nautica Men's Townsend Casual Lace-Up ShoeClassic Low Top Loafer Fashion Sneaker,70%,16%,6%,3%,5%,1875
Nike Men's Basketball Shoe,70%,14%,5%,0%,12%,63
adidas Men's Grand Court Tennis Shoe,80%,12%,4%,2%,3%,4293
adidas mens Questar Flow,75%,15%,6%,2%,2%,927
New Balance Men's 997H V1 Sneaker,80%,11%,4%,1%,3%,2057
Nike Men's Stroke Running Shoe,75%,11%,6%,3%,5%,797
Nike Men's Gymnastics Shoes,72%,12%,6%,3%,7%,4665
Skechers Men's Escape Plan Oxford,74%,13%,6%,2%,4%,1858
ECCO Men's Soft 7 Tie 2.0 Sneaker,100%,0%,0%,0%,0%,3
SANSHA Tutto Nero Dance Sneaker,74%,6%,3%,9%,7%,56
Nautica Men's Casual Slip-On Fashion Sneakers-Walking Shoes-Lightweight Joggers,75%,14%,4%,2%,4%,1148
Skechers Men's Max Cushioning Premier Vantage-Performance Walking & Running Shoe Sneaker,76%,14%,5%,2%,3%,1981
Under Armour Men's HOVR Rise Cross Trainer,75%,15%,5%,2%,3%,879
PUMA Men's Viz Runner Cross-trainer,74%,13%,5%,3%,4%,1389
